,Loan_ID,Unnamed: 1,ApplicantIncome,CoapplicantIncome,Loan_Amount_Term,Credit_History,Loan_Status,LoanAmount
0,LP001002,,5849,0.0,360.0,1.0,Y,
1,LP001005,,3000,0.0,360.0,1.0,Y,66.0
2,LP001006,,2583,2358.0,360.0,1.0,Y,120.0
3,LP001008,,6000,0.0,360.0,1.0,Y,141.0
4,LP001011,,5417,4196.0,360.0,1.0,Y,267.0
5,LP001013,,2333,1516.0,360.0,1.0,Y,95.0
6,LP001018,,4006,1526.0,360.0,1.0,Y,168.0
7,LP001024,,3200,700.0,360.0,1.0,Y,70.0
8,LP001027,,2500,1840.0,360.0,1.0,Y,109.0
9,LP001028,,3073,8106.0,360.0,1.0,Y,200.0
10,LP001030,,1299,1086.0,120.0,1.0,Y,17.0
11,LP001032,,4950,0.0,360.0,1.0,Y,125.0
12,LP001034,,3596,0.0,240.0,,Y,100.0
13,LP001041,,2600,3500.0,,1.0,Y,115.0
14,LP001046,,5955,5625.0,360.0,1.0,Y,315.0
15,LP001066,,9560,0.0,360.0,1.0,Y,191.0
16,LP001068,,2799,2253.0,360.0,1.0,Y,122.0
17,LP001073,,4226,1040.0,360.0,1.0,Y,110.0
18,LP001087,,3750,2083.0,360.0,1.0,Y,120.0
19,LP001098,,3500,1667.0,360.0,1.0,Y,114.0
20,LP001106,,2275,2067.0,360.0,1.0,Y,
21,LP001112,,3667,1459.0,360.0,1.0,Y,144.0
22,LP001114,,4166,7210.0,360.0,1.0,Y,184.0
23,LP001116,,3748,1668.0,360.0,1.0,Y,110.0
24,LP001120,,1800,1213.0,360.0,1.0,Y,47.0
25,LP001123,,2400,0.0,360.0,,Y,75.0
26,LP001131,,3941,2336.0,360.0,1.0,Y,134.0
27,LP001136,,4695,0.0,,1.0,Y,96.0
28,LP001137,,3410,0.0,,1.0,Y,88.0
29,LP001138,,5649,0.0,360.0,1.0,Y,44.0
30,LP001144,,5821,0.0,360.0,1.0,Y,144.0
31,LP001151,,4000,2275.0,360.0,1.0,Y,144.0
32,LP001155,,1928,1644.0,360.0,1.0,Y,100.0
33,LP001157,,3086,0.0,360.0,1.0,Y,120.0
34,LP001194,,2708,1167.0,360.0,1.0,Y,97.0
35,LP001195,,2132,1591.0,360.0,1.0,Y,96.0
36,LP001198,,8080,2250.0,360.0,1.0,Y,180.0
37,LP001199,,3357,2859.0,360.0,1.0,Y,144.0
38,LP001205,,2500,3796.0,360.0,1.0,Y,120.0
39,LP001206,,3029,0.0,360.0,1.0,Y,99.0
40,LP001233,,10750,0.0,360.0,1.0,Y,312.0
41,LP001238,,7100,0.0,60.0,1.0,Y,125.0
42,LP001243,,3208,3066.0,360.0,1.0,Y,172.0
43,LP001245,,1875,1875.0,360.0,1.0,Y,97.0
44,LP001248,,3500,0.0,300.0,1.0,Y,81.0
45,LP001253,,5266,1774.0,360.0,1.0,Y,187.0
46,LP001264,,3333,2166.0,360.0,,Y,130.0
47,LP001265,,3846,0.0,360.0,1.0,Y,111.0
48,LP001266,,2395,0.0,360.0,1.0,Y,
49,LP001275,,3988,0.0,240.0,1.0,Y,50.0
50,LP001279,,2366,2531.0,360.0,1.0,Y,136.0
51,LP001280,,3333,2000.0,360.0,,Y,99.0
52,LP001282,,2500,2118.0,360.0,1.0,Y,104.0
53,LP001289,,8566,0.0,360.0,1.0,Y,210.0
54,LP001310,,5695,4167.0,360.0,1.0,Y,175.0
55,LP001316,,2958,2900.0,360.0,1.0,Y,131.0
56,LP001318,,6250,5654.0,180.0,1.0,Y,188.0
57,LP001319,,3273,1820.0,360.0,1.0,Y,81.0
58,LP001322,,4133,0.0,360.0,1.0,Y,122.0
59,LP001325,,3620,0.0,120.0,1.0,Y,25.0
60,LP001327,,2484,2302.0,360.0,1.0,Y,137.0
61,LP001333,,1977,997.0,360.0,1.0,Y,50.0
62,LP001334,,4188,0.0,180.0,1.0,Y,115.0
63,LP001343,,1759,3541.0,360.0,1.0,Y,131.0
64,LP001345,,4288,3263.0,180.0,1.0,Y,133.0
65,LP001349,,4843,3806.0,360.0,1.0,Y,151.0
66,LP001350,,13650,0.0,360.0,1.0,Y,
67,LP001356,,4652,3583.0,360.0,1.0,Y,
68,LP001357,,3816,754.0,360.0,1.0,Y,160.0
69,LP001367,,3052,1030.0,360.0,1.0,Y,100.0
70,LP001369,,11417,1126.0,360.0,1.0,Y,225.0
71,LP001384,,2071,754.0,480.0,1.0,Y,94.0
72,LP001385,,5316,0.0,360.0,1.0,Y,136.0
73,LP001387,,2929,2333.0,360.0,1.0,Y,139.0
74,LP001392,,7451,0.0,360.0,1.0,Y,
75,LP001398,,5050,0.0,360.0,1.0,Y,118.0
76,LP001401,,14583,0.0,180.0,1.0,Y,185.0
77,LP001404,,3167,2283.0,360.0,1.0,Y,154.0
78,LP001405,,2214,1398.0,360.0,,Y,85.0
79,LP001422,,10408,0.0,360.0,1.0,Y,259.0
80,LP001426,,5667,2667.0,360.0,1.0,Y,180.0
81,LP001430,,4166,0.0,360.0,1.0,Y,44.0
82,LP001431,,2137,8980.0,360.0,0.0,Y,137.0
83,LP001432,,2957,0.0,360.0,1.0,Y,81.0
84,LP001439,,4300,2014.0,360.0,1.0,Y,194.0
85,LP001443,,3692,0.0,360.0,,Y,93.0
86,LP001448,,23803,0.0,360.0,1.0,Y,370.0
87,LP001449,,3865,1640.0,360.0,1.0,Y,
88,LP001469,,20166,0.0,480.0,,Y,650.0
89,LP001473,,2014,1929.0,360.0,1.0,Y,74.0
90,LP001478,,2718,0.0,360.0,1.0,Y,70.0
91,LP001482,,3459,0.0,120.0,1.0,Y,25.0
92,LP001487,,4895,0.0,360.0,1.0,Y,102.0
93,LP001491,,3316,3500.0,360.0,1.0,Y,88.0
94,LP001498,,5417,0.0,360.0,1.0,Y,168.0
95,LP001504,,6950,0.0,180.0,1.0,Y,175.0
96,LP001507,,2698,2034.0,360.0,1.0,Y,122.0
97,LP001508,,11757,0.0,180.0,1.0,Y,187.0
98,LP001514,,2330,4486.0,360.0,1.0,Y,100.0
99,LP001516,,14866,0.0,360.0,1.0,Y,70.0
100,LP001518,,1538,1425.0,360.0,1.0,Y,30.0
101,LP001520,,4860,830.0,360.0,1.0,Y,125.0
102,LP001529,,2577,3750.0,360.0,1.0,Y,152.0
103,LP001535,,3254,0.0,360.0,1.0,Y,50.0
104,LP001536,,39999,0.0,180.0,0.0,Y,600.0
105,LP001541,,6000,0.0,360.0,,Y,160.0
106,LP001543,,9538,0.0,360.0,1.0,Y,187.0
107,LP001546,,2980,2083.0,360.0,1.0,Y,120.0
108,LP001552,,4583,5625.0,360.0,1.0,Y,255.0
109,LP001560,,1863,1041.0,360.0,1.0,Y,98.0
110,LP001570,,4167,1447.0,360.0,1.0,Y,158.0
111,LP001572,,9323,0.0,180.0,1.0,Y,75.0
112,LP001574,,3707,3166.0,,1.0,Y,182.0
113,LP001578,,2439,3333.0,360.0,1.0,Y,129.0
114,LP001580,,8000,0.0,360.0,1.0,Y,200.0
115,LP001581,,1820,1769.0,360.0,1.0,Y,95.0
116,LP001585,,51763,0.0,300.0,1.0,Y,700.0
117,LP001594,,5708,5625.0,360.0,1.0,Y,187.0
118,LP001606,,3497,1964.0,360.0,1.0,Y,116.0
119,LP001608,,2045,1619.0,360.0,1.0,Y,101.0
120,LP001616,,3750,0.0,360.0,1.0,Y,116.0
121,LP001636,,4600,0.0,180.0,1.0,Y,73.0
122,LP001639,,3625,0.0,360.0,1.0,Y,108.0
123,LP001640,,39147,4750.0,360.0,1.0,Y,120.0
124,LP001643,,2383,2138.0,360.0,,Y,58.0
125,LP001644,,674,5296.0,360.0,1.0,Y,168.0
126,LP001647,,9328,0.0,180.0,1.0,Y,188.0
127,LP001653,,4885,0.0,360.0,1.0,Y,48.0
128,LP001658,,3858,0.0,360.0,1.0,Y,76.0
129,LP001664,,4191,0.0,360.0,1.0,Y,120.0
130,LP001666,,8333,3750.0,360.0,1.0,Y,187.0
131,LP001669,,1907,2365.0,,1.0,Y,120.0
132,LP001671,,3416,2816.0,360.0,,Y,113.0
133,LP001674,,2600,2500.0,360.0,1.0,Y,90.0
134,LP001677,,4923,0.0,360.0,0.0,Y,166.0
135,LP001688,,3500,1083.0,360.0,1.0,Y,135.0
136,LP001691,,3917,0.0,360.0,1.0,Y,124.0
137,LP001692,,4408,0.0,360.0,1.0,Y,120.0
138,LP001693,,3244,0.0,360.0,1.0,Y,80.0
139,LP001698,,3975,2531.0,360.0,1.0,Y,55.0
140,LP001699,,2479,0.0,360.0,1.0,Y,59.0
141,LP001713,,7787,0.0,360.0,1.0,Y,240.0
142,LP001715,,5703,0.0,360.0,1.0,Y,130.0
143,LP001716,,3173,3021.0,360.0,1.0,Y,137.0
144,LP001720,,3850,983.0,360.0,1.0,Y,100.0
145,LP001726,,3727,1775.0,360.0,1.0,Y,131.0
146,LP001734,,4283,2383.0,360.0,,Y,127.0
147,LP001743,,4009,1717.0,360.0,1.0,Y,116.0
148,LP001744,,2971,2791.0,360.0,1.0,Y,144.0
149,LP001749,,7578,1010.0,,1.0,Y,175.0
150,LP001750,,6250,0.0,360.0,1.0,Y,128.0
151,LP001758,,6250,1695.0,360.0,1.0,Y,210.0
152,LP001760,,4758,0.0,480.0,1.0,Y,158.0
153,LP001761,,6400,0.0,360.0,1.0,Y,200.0
154,LP001765,,2491,2054.0,360.0,1.0,Y,104.0
155,LP001768,,3716,0.0,180.0,1.0,Y,42.0
156,LP001770,,3189,2598.0,,1.0,Y,120.0
157,LP001776,,8333,0.0,360.0,1.0,Y,280.0
158,LP001778,,3155,1779.0,360.0,1.0,Y,140.0
159,LP001784,,5500,1260.0,360.0,1.0,Y,170.0
160,LP001788,,3463,0.0,360.0,,Y,122.0
161,LP001790,,3812,0.0,360.0,1.0,Y,112.0
162,LP001792,,3315,0.0,360.0,1.0,Y,96.0
163,LP001798,,5819,5000.0,360.0,1.0,Y,120.0
164,LP001806,,2965,5701.0,60.0,1.0,Y,155.0
165,LP001807,,6250,1300.0,360.0,1.0,Y,108.0
166,LP001811,,3406,4417.0,360.0,1.0,Y,123.0
167,LP001814,,9703,0.0,360.0,1.0,Y,112.0
168,LP001819,,6608,0.0,180.0,1.0,Y,137.0
169,LP001824,,2882,1843.0,480.0,1.0,Y,123.0
170,LP001825,,1809,1868.0,360.0,1.0,Y,90.0
171,LP001841,,2583,2167.0,360.0,1.0,Y,104.0
172,LP001843,,2661,7101.0,180.0,1.0,Y,279.0
173,LP001846,,3083,0.0,360.0,1.0,Y,255.0
174,LP001865,,6083,4250.0,360.0,,Y,330.0
175,LP001868,,2060,2209.0,360.0,1.0,Y,134.0
176,LP001871,,7200,0.0,360.0,1.0,Y,120.0
177,LP001872,,5166,0.0,360.0,1.0,Y,128.0
178,LP001875,,4095,3447.0,360.0,1.0,Y,151.0
179,LP001877,,4708,1387.0,360.0,1.0,Y,150.0
180,LP001882,,4333,1811.0,360.0,0.0,Y,160.0
181,LP001884,,2876,1560.0,360.0,1.0,Y,90.0
182,LP001888,,3237,0.0,360.0,1.0,Y,30.0
183,LP001891,,11146,0.0,360.0,1.0,Y,136.0
184,LP001892,,2833,1857.0,360.0,1.0,Y,126.0
185,LP001894,,2620,2223.0,360.0,1.0,Y,150.0
186,LP001896,,3900,0.0,360.0,1.0,Y,90.0
187,LP001900,,2750,1842.0,360.0,1.0,Y,115.0
188,LP001903,,3993,3274.0,360.0,1.0,Y,207.0
189,LP001904,,3103,1300.0,360.0,1.0,Y,80.0
190,LP001907,,14583,0.0,360.0,1.0,Y,436.0
191,LP001908,,4100,0.0,360.0,,Y,124.0
192,LP001914,,3927,800.0,360.0,1.0,Y,112.0
193,LP001915,,2301,985.7999877999998,180.0,1.0,Y,78.0
194,LP001917,,1811,1666.0,360.0,1.0,Y,54.0
195,LP001924,,3158,3053.0,360.0,1.0,Y,89.0
196,LP001926,,3704,2000.0,360.0,1.0,Y,120.0
197,LP001931,,4124,0.0,360.0,1.0,Y,115.0
198,LP001935,,9508,0.0,360.0,1.0,Y,187.0
199,LP001936,,3075,2416.0,360.0,1.0,Y,139.0
200,LP001940,,3153,1560.0,360.0,1.0,Y,134.0
201,LP001947,,2383,3334.0,360.0,1.0,Y,172.0
202,LP001949,,4416,1250.0,360.0,1.0,Y,110.0
203,LP001953,,6875,0.0,360.0,1.0,Y,200.0
204,LP001954,,4666,0.0,360.0,1.0,Y,135.0
205,LP001972,,2875,1750.0,360.0,1.0,Y,105.0
206,LP001974,,5000,0.0,360.0,1.0,Y,132.0
207,LP001977,,1625,1803.0,360.0,1.0,Y,96.0
208,LP001978,,4000,2500.0,360.0,1.0,Y,140.0
209,LP001993,,3762,1666.0,360.0,1.0,Y,135.0
210,LP001998,,7667,0.0,360.0,,Y,185.0
211,LP002002,,2917,0.0,360.0,1.0,Y,84.0
212,LP002004,,2927,2405.0,360.0,1.0,Y,111.0
213,LP002006,,2507,0.0,360.0,1.0,Y,56.0
214,LP002008,,5746,0.0,84.0,,Y,144.0
215,LP002031,,3399,1640.0,180.0,1.0,Y,111.0
216,LP002035,,3717,0.0,360.0,1.0,Y,120.0
217,LP002036,,2058,2134.0,360.0,,Y,88.0
218,LP002043,,3541,0.0,360.0,,Y,112.0
219,LP002051,,2400,2167.0,360.0,1.0,Y,115.0
220,LP002053,,4342,189.0,360.0,1.0,Y,124.0
221,LP002054,,3601,1590.0,360.0,1.0,Y,
222,LP002055,,3166,2985.0,360.0,,Y,132.0
223,LP002065,,15000,0.0,360.0,1.0,Y,300.0
224,LP002068,,4917,0.0,360.0,0.0,Y,130.0
225,LP002082,,5818,2160.0,360.0,1.0,Y,184.0
226,LP002087,,2500,0.0,360.0,1.0,Y,67.0
227,LP002097,,4384,1793.0,360.0,1.0,Y,117.0
228,LP002098,,2935,0.0,360.0,1.0,Y,98.0
229,LP002100,,2833,0.0,360.0,1.0,Y,71.0
230,LP002101,,63337,0.0,180.0,1.0,Y,490.0
231,LP002103,,9833,1833.0,180.0,1.0,Y,182.0
232,LP002106,,5503,4490.0,,1.0,Y,70.0
233,LP002110,,5250,688.0,360.0,1.0,Y,160.0
234,LP002112,,2500,4600.0,360.0,1.0,Y,176.0
235,LP002114,,4160,0.0,360.0,1.0,Y,71.0
236,LP002119,,4554,1229.0,360.0,1.0,Y,158.0
237,LP002126,,3173,0.0,360.0,1.0,Y,74.0
238,LP002128,,2583,2330.0,360.0,1.0,Y,125.0
239,LP002129,,2499,2458.0,360.0,1.0,Y,160.0
240,LP002131,,3083,2168.0,360.0,1.0,Y,126.0
241,LP002137,,6333,4583.0,360.0,,Y,259.0
242,LP002138,,2625,6250.0,360.0,1.0,Y,187.0
243,LP002139,,9083,0.0,360.0,1.0,Y,228.0
244,LP002141,,2666,2083.0,360.0,1.0,Y,95.0
245,LP002143,,2423,505.0,360.0,1.0,Y,130.0
246,LP002144,,3813,0.0,180.0,1.0,Y,116.0
247,LP002149,,8333,3167.0,360.0,1.0,Y,165.0
248,LP002160,,5167,3167.0,360.0,1.0,Y,200.0
249,LP002170,,5000,3667.0,360.0,1.0,Y,236.0
250,LP002175,,4750,2333.0,360.0,1.0,Y,130.0
251,LP002178,,3013,3033.0,300.0,,Y,95.0
252,LP002180,,6822,0.0,360.0,1.0,Y,141.0
253,LP002190,,6325,0.0,360.0,1.0,Y,175.0
254,LP002194,,15759,0.0,360.0,1.0,Y,55.0
255,LP002197,,5185,0.0,360.0,1.0,Y,155.0
256,LP002201,,9323,7873.0,300.0,1.0,Y,380.0
257,LP002209,,2764,1459.0,360.0,1.0,Y,110.0
258,LP002211,,4817,923.0,180.0,1.0,Y,120.0
259,LP002219,,8750,4996.0,360.0,1.0,Y,130.0
260,LP002223,,4310,0.0,360.0,,Y,130.0
261,LP002225,,5391,0.0,360.0,1.0,Y,130.0
262,LP002226,,3333,2500.0,360.0,1.0,Y,128.0
263,LP002229,,5941,4232.0,360.0,1.0,Y,296.0
264,LP002231,,6000,0.0,360.0,1.0,Y,156.0
265,LP002234,,7167,0.0,360.0,1.0,Y,128.0
266,LP002237,,3667,0.0,180.0,1.0,Y,113.0
267,LP002239,,2346,1600.0,360.0,1.0,Y,132.0
268,LP002244,,2333,2417.0,360.0,1.0,Y,136.0
269,LP002250,,5488,0.0,360.0,1.0,Y,125.0
270,LP002255,,9167,0.0,360.0,1.0,Y,185.0
271,LP002262,,9504,0.0,360.0,1.0,Y,275.0
272,LP002263,,2583,2115.0,360.0,,Y,120.0
273,LP002265,,1993,1625.0,180.0,1.0,Y,113.0
274,LP002266,,3100,1400.0,360.0,1.0,Y,113.0
275,LP002272,,3276,484.0,360.0,,Y,135.0
276,LP002281,,3033,1459.0,360.0,1.0,Y,95.0
277,LP002284,,3902,1666.0,360.0,1.0,Y,109.0
278,LP002297,,2500,20000.0,360.0,1.0,Y,103.0
279,LP002300,,1963,0.0,360.0,1.0,Y,53.0
280,LP002305,,4547,0.0,360.0,1.0,Y,115.0
281,LP002308,,2167,2400.0,360.0,1.0,Y,115.0
282,LP002314,,2213,0.0,360.0,1.0,Y,66.0
283,LP002319,,6256,0.0,360.0,,Y,160.0
284,LP002332,,2253,2033.0,360.0,1.0,Y,110.0
285,LP002337,,2995,0.0,360.0,1.0,Y,60.0
286,LP002345,,1025,2773.0,360.0,1.0,Y,112.0
287,LP002347,,3246,1417.0,360.0,1.0,Y,138.0
288,LP002348,,5829,0.0,360.0,1.0,Y,138.0
289,LP002361,,1820,1719.0,360.0,1.0,Y,100.0
290,LP002364,,14880,0.0,360.0,1.0,Y,96.0
291,LP002366,,2666,4300.0,360.0,1.0,Y,121.0
292,LP002368,,5935,0.0,360.0,1.0,Y,133.0
293,LP002369,,2920,16.12000084,360.0,1.0,Y,87.0
294,LP002370,,2717,0.0,180.0,1.0,Y,60.0
295,LP002377,,8624,0.0,360.0,1.0,Y,150.0
296,LP002386,,12876,0.0,360.0,1.0,Y,405.0
297,LP002387,,2425,2340.0,360.0,1.0,Y,143.0
298,LP002390,,3750,0.0,360.0,1.0,Y,100.0
299,LP002393,,10047,0.0,240.0,1.0,Y,
300,LP002398,,1926,1851.0,360.0,1.0,Y,50.0
301,LP002401,,2213,1125.0,360.0,1.0,Y,
302,LP002407,,7142,0.0,360.0,1.0,Y,138.0
303,LP002408,,3660,5064.0,360.0,1.0,Y,187.0
304,LP002409,,7901,1833.0,360.0,1.0,Y,180.0
305,LP002418,,4707,1993.0,360.0,1.0,Y,148.0
306,LP002422,,37719,0.0,360.0,1.0,Y,152.0
307,LP002424,,7333,8333.0,300.0,,Y,175.0
308,LP002429,,3466,1210.0,360.0,1.0,Y,130.0
309,LP002434,,4652,0.0,360.0,1.0,Y,110.0
310,LP002447,,1958,1456.0,300.0,,Y,60.0
311,LP002449,,2483,2466.0,180.0,0.0,Y,90.0
312,LP002453,,7085,0.0,360.0,1.0,Y,84.0
313,LP002455,,3859,0.0,360.0,1.0,Y,96.0
314,LP002459,,4301,0.0,360.0,1.0,Y,118.0
315,LP002472,,4354,0.0,360.0,1.0,Y,136.0
316,LP002478,,2083,4083.0,360.0,,Y,160.0
317,LP002484,,7740,0.0,180.0,1.0,Y,128.0
318,LP002487,,3015,2188.0,360.0,1.0,Y,153.0
319,LP002489,,5191,0.0,360.0,1.0,Y,132.0
320,LP002494,,6000,0.0,360.0,1.0,Y,140.0
321,LP002501,,16692,0.0,360.0,1.0,Y,110.0
322,LP002502,,210,2917.0,360.0,1.0,Y,98.0
323,LP002515,,3450,2079.0,360.0,1.0,Y,162.0
324,LP002519,,4691,0.0,360.0,1.0,Y,100.0
325,LP002522,,2500,0.0,360.0,,Y,93.0
326,LP002524,,5532,4648.0,360.0,1.0,Y,162.0
327,LP002527,,16525,1014.0,360.0,1.0,Y,150.0
328,LP002529,,6700,1750.0,300.0,1.0,Y,230.0
329,LP002531,,16667,2250.0,360.0,1.0,Y,86.0
330,LP002534,,4350,0.0,360.0,1.0,Y,154.0
331,LP002536,,3095,0.0,360.0,1.0,Y,113.0
332,LP002537,,2083,3150.0,360.0,1.0,Y,128.0
333,LP002541,,10833,0.0,360.0,1.0,Y,234.0
334,LP002543,,8333,0.0,360.0,1.0,Y,246.0
335,LP002544,,1958,2436.0,360.0,1.0,Y,131.0
336,LP002555,,4583,2083.0,360.0,1.0,Y,160.0
337,LP002560,,2699,2785.0,360.0,,Y,96.0
338,LP002562,,5333,1131.0,360.0,,Y,186.0
339,LP002571,,3691,0.0,360.0,1.0,Y,110.0
340,LP002582,,17263,0.0,360.0,1.0,Y,225.0
341,LP002586,,3326,913.0,84.0,1.0,Y,105.0
342,LP002587,,2600,1700.0,360.0,1.0,Y,107.0
343,LP002588,,4625,2857.0,12.0,,Y,111.0
344,LP002600,,2895,0.0,360.0,1.0,Y,95.0
345,LP002603,,645,3683.0,480.0,1.0,Y,113.0
346,LP002606,,3159,0.0,360.0,1.0,Y,100.0
347,LP002615,,4865,5624.0,360.0,1.0,Y,208.0
348,LP002619,,3814,1483.0,300.0,1.0,Y,124.0
349,LP002622,,3510,4416.0,360.0,1.0,Y,243.0
350,LP002624,,20833,6667.0,360.0,,Y,480.0
351,LP002626,,2479,3013.0,360.0,1.0,Y,188.0
352,LP002634,,13262,0.0,360.0,1.0,Y,40.0
353,LP002640,,6065,2004.0,360.0,1.0,Y,250.0
354,LP002643,,3283,2035.0,360.0,1.0,Y,148.0
355,LP002659,,3466,3428.0,360.0,1.0,Y,150.0
356,LP002670,,2031,1632.0,480.0,1.0,Y,113.0
357,LP002689,,2192,1742.0,360.0,1.0,Y,45.0
358,LP002690,,2500,0.0,360.0,1.0,Y,55.0
359,LP002692,,5677,1424.0,360.0,1.0,Y,100.0
360,LP002693,,7948,7166.0,360.0,1.0,Y,480.0
361,LP002699,,17500,0.0,360.0,1.0,Y,400.0
362,LP002705,,3775,0.0,360.0,1.0,Y,110.0
363,LP002706,,5285,1430.0,360.0,0.0,Y,161.0
364,LP002714,,2679,1302.0,360.0,1.0,Y,94.0
365,LP002716,,6783,0.0,360.0,1.0,Y,130.0
366,LP002717,,1025,5500.0,360.0,,Y,216.0
367,LP002720,,4281,0.0,360.0,1.0,Y,100.0
368,LP002731,,18165,0.0,360.0,1.0,Y,125.0
369,LP002732,,2550,2042.0,360.0,1.0,Y,126.0
370,LP002734,,6133,3906.0,360.0,1.0,Y,324.0
371,LP002738,,3617,0.0,360.0,1.0,Y,107.0
372,LP002740,,6417,0.0,180.0,1.0,Y,157.0
373,LP002741,,4608,2845.0,180.0,1.0,Y,140.0
374,LP002753,,3652,0.0,360.0,1.0,Y,95.0
375,LP002755,,2239,2524.0,360.0,1.0,Y,128.0
376,LP002757,,3017,663.0,360.0,,Y,102.0
377,LP002767,,2768,1950.0,360.0,1.0,Y,155.0
378,LP002772,,2526,1783.0,360.0,1.0,Y,145.0
379,LP002777,,2785,2016.0,360.0,1.0,Y,110.0
380,LP002784,,2492,2375.0,360.0,1.0,Y,
381,LP002785,,3333,3250.0,360.0,1.0,Y,158.0
382,LP002792,,5468,1032.0,360.0,1.0,Y,26.0
383,LP002794,,2667,1625.0,360.0,,Y,84.0
384,LP002795,,10139,0.0,360.0,1.0,Y,260.0
385,LP002798,,3887,2669.0,360.0,1.0,Y,162.0
386,LP002804,,4180,2306.0,360.0,1.0,Y,182.0
387,LP002807,,3675,242.0,360.0,1.0,Y,108.0
388,LP002813,,19484,0.0,360.0,1.0,Y,600.0
389,LP002820,,5923,2054.0,360.0,1.0,Y,211.0
390,LP002821,,5800,0.0,360.0,1.0,Y,132.0
391,LP002833,,4467,0.0,360.0,,Y,120.0
392,LP002836,,3333,0.0,360.0,1.0,Y,70.0
393,LP002842,,3417,1750.0,360.0,1.0,Y,186.0
394,LP002855,,16666,0.0,360.0,1.0,Y,275.0
395,LP002868,,3159,461.0,84.0,1.0,Y,108.0
396,LP002874,,3229,2739.0,360.0,1.0,Y,110.0
397,LP002877,,1782,2232.0,360.0,1.0,Y,107.0
398,LP002888,,3182,2917.0,360.0,1.0,Y,161.0
399,LP002892,,6540,0.0,360.0,1.0,Y,205.0
400,LP002894,,3166,0.0,360.0,1.0,Y,36.0
401,LP002916,,2297,1522.0,360.0,1.0,Y,104.0
402,LP002917,,2165,0.0,360.0,1.0,Y,70.0
403,LP002925,,4750,0.0,360.0,1.0,Y,94.0
404,LP002928,,3000,3416.0,180.0,1.0,Y,56.0
405,LP002933,,9357,0.0,360.0,1.0,Y,292.0
406,LP002936,,3859,3300.0,180.0,1.0,Y,142.0
407,LP002938,,16120,0.0,360.0,1.0,Y,260.0
408,LP002940,,3833,0.0,360.0,1.0,Y,110.0
409,LP002945,,9963,0.0,360.0,1.0,Y,180.0
410,LP002948,,5780,0.0,360.0,1.0,Y,192.0
411,LP002950,,2894,2792.0,360.0,1.0,Y,155.0
412,LP002953,,5703,0.0,360.0,1.0,Y,128.0
413,LP002958,,3676,4301.0,360.0,1.0,Y,172.0
414,LP002959,,12000,0.0,360.0,1.0,Y,496.0
415,LP002961,,3400,2500.0,360.0,1.0,Y,173.0
416,LP002964,,3987,1411.0,360.0,1.0,Y,157.0
417,LP002974,,3232,1950.0,360.0,1.0,Y,108.0
418,LP002978,,2900,0.0,360.0,1.0,Y,71.0
419,LP002979,,4106,0.0,180.0,1.0,Y,40.0
420,LP002983,,8072,240.0,360.0,1.0,Y,253.0
421,LP002984,,7583,0.0,360.0,1.0,Y,187.0
